id,name,location,category
1,Maxed Out Mobile Apps,San Francisco,Software Development
2,Revelation Applications,New York,Software Development
3,Expressway Ecommerce Ltd.,Chicago,Cloud Computing
4,Encoders Unlimited,Los Angeles,Hardwarwe Development
5,Mad Mobile Development,San Diego,Software Development
6,Bluelight Suites Network,New York,Network Security
7,High Voltage Software,Seattle,Software Development
8,Neptune Technologies,Houston,Network Security
9,Horizon PC Professionals,Washington,Cloud Computing
10,Hot Wired Web Applications,San Francisco,Web Development
11,Element Web Development,New York,Web Development
12,Nova Web Designers,Chicago,Web Development
13,AlphaPress App Development,Washington,Software Development
14,Coders Computer Software,Los Angeles,System Integration
15,Quantum Comp Solutions,Houston,System Integration
16,Omega Co.,San Francisco,Hardwarwe Development
17,Parallax Programmers,Seattle,Data Managment
18,Radioactive Applications,San Diego,Data Managment
19,Macro Solutions,New York,Network Security
20,Interstellar Data,Los Angeles,Data Managment